,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
722,"The Well-Tempered Clavier, Book 1, Prelude & Fugue in C Major, BWV 846: I. Prelude",0.163,0.00955,0.0,-36.345,1.0,0.0511,0.992,0.946,0.0657,0.16700000000000000,72.327,audio_features,2iDYHPLh9TOhDpknFZXPjD,spotify:track:2iDYHPLh9TOhDpknFZXPjD,https://api.spotify.com/v1/tracks/2iDYHPLh9TOhDpknFZXPjD,https://api.spotify.com/v1/audio-analysis/2iDYHPLh9TOhDpknFZXPjD,205507.0,3.0
723,Broccoli,0.8860000000000000,0.525,8.0,-7.39,1.0,0.132,0.23600000000000000,0.0,0.057,0.708,145.99,audio_features,0qy5D3OJre7SPJNMOL9I71,spotify:track:0qy5D3OJre7SPJNMOL9I71,https://api.spotify.com/v1/tracks/0qy5D3OJre7SPJNMOL9I71,https://api.spotify.com/v1/audio-analysis/0qy5D3OJre7SPJNMOL9I71,225205.0,4.0
724,Wouldn't Mean A Thing,0.5670000000000000,0.196,6.0,-12.008,1.0,0.162,0.831,3.63E-05,0.11200000000000000,0.455,121.316,audio_features,2My7DsxhZodhsguIHCqAGm,spotify:track:2My7DsxhZodhsguIHCqAGm,https://api.spotify.com/v1/tracks/2My7DsxhZodhsguIHCqAGm,https://api.spotify.com/v1/audio-analysis/2My7DsxhZodhsguIHCqAGm,174167.0,4.0
725,"Variations on an Original Theme, Op. 36 ""Enigma"": 9. Nimrod (Adagio) (Arr. Parkin)",0.158,0.0908,10.0,-19.848,1.0,0.0445,0.9570000000000000,0.922,0.11800000000000000,0.0392,90.12300000000000,audio_features,5Fjh9jRPL7qqQG7dEtHAOP,spotify:track:5Fjh9jRPL7qqQG7dEtHAOP,https://api.spotify.com/v1/tracks/5Fjh9jRPL7qqQG7dEtHAOP,https://api.spotify.com/v1/audio-analysis/5Fjh9jRPL7qqQG7dEtHAOP,240013.0,3.0
726,Better Views,0.456,0.611,5.0,-8.952,1.0,0.0382,0.6610000000000000,0.000822,0.0996,0.078,88.881,audio_features,5PE2TkQKrgcLZupVGe5Pxu,spotify:track:5PE2TkQKrgcLZupVGe5Pxu,https://api.spotify.com/v1/tracks/5PE2TkQKrgcLZupVGe5Pxu,https://api.spotify.com/v1/audio-analysis/5PE2TkQKrgcLZupVGe5Pxu,239640.0,4.0
727,VALENTINO,0.747,0.7170000000000000,9.0,-4.841,0.0,0.179,0.19900000000000000,0.0,0.132,0.523,150.965,audio_features,6piAUJJQFD8oHDUr0b7l7q,spotify:track:6piAUJJQFD8oHDUr0b7l7q,https://api.spotify.com/v1/tracks/6piAUJJQFD8oHDUr0b7l7q,https://api.spotify.com/v1/audio-analysis/6piAUJJQFD8oHDUr0b7l7q,179133.0,4.0
728,200 Mph,0.85,0.5,8.0,-6.7080000000000000,1.0,0.0665,0.0139,0.000384,0.0947,0.816,160.02,audio_features,5jGUJXnELDaDTgiRjD9lsg,spotify:track:5jGUJXnELDaDTgiRjD9lsg,https://api.spotify.com/v1/tracks/5jGUJXnELDaDTgiRjD9lsg,https://api.spotify.com/v1/audio-analysis/5jGUJXnELDaDTgiRjD9lsg,170509.0,4.0
729,Can't Tell Me Nothing,0.596,0.62,5.0,-6.133000000000000,0.0,0.039,0.0122,0.0,0.82,0.102,80.029,audio_features,2MIBAmYwiuGoKUlpq9B9sZ,spotify:track:2MIBAmYwiuGoKUlpq9B9sZ,https://api.spotify.com/v1/tracks/2MIBAmYwiuGoKUlpq9B9sZ,https://api.spotify.com/v1/audio-analysis/2MIBAmYwiuGoKUlpq9B9sZ,271600.0,4.0
730,Best Part (feat. H.E.R.),0.524,0.364,7.0,-10.209,1.0,0.0367,0.8080000000000000,0.0,0.1,0.436,75.24,audio_features,1RMJOxR6GRPsBHL8qeC2ux,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/audio-analysis/1RMJOxR6GRPsBHL8qeC2ux,209831.0,4.0
731,"ALONE, PART 3",0.61,0.258,0.0,-12.758,1.0,0.0331,0.883,0.0145,0.10300000000000000,0.16400000000000000,127.08,audio_features,2oe6dDthgthqUkfL3czpEd,spotify:track:2oe6dDthgthqUkfL3czpEd,https://api.spotify.com/v1/tracks/2oe6dDthgthqUkfL3czpEd,https://api.spotify.com/v1/audio-analysis/2oe6dDthgthqUkfL3czpEd,109986.0,4.0
